Filepath,Label
/content/data/data-raw/Utkatasana/File42.jpg,Utkatasana
/content/data/data-raw/Utkatasana/File68.jpg,Utkatasana
/content/data/data-raw/Setu Bandha Sarvangasana/File61.jpg,Setu Bandha Sarvangasana
/content/data/data-raw/Setu Bandha Sarvangasana/File57.jpg,Setu Bandha Sarvangasana
/content/data/data-raw/Setu Bandha Sarvangasana/File60.jpg,Setu Bandha Sarvangasana
/content/data/data-raw/Setu Bandha Sarvangasana/File54.jpg,Setu Bandha Sarvangasana
/content/data/data-raw/Setu Bandha Sarvangasana/File52.jpg,Setu Bandha Sarvangasana
/content/data/data-raw/Setu Bandha Sarvangasana/File49.jpg,Setu Bandha Sarvangasana
/content/data/data-raw/Setu Bandha Sarvangasana/File58.jpg,Setu Bandha Sarvangasana
/content/data/data-raw/Setu Bandha Sarvangasana/File48.jpg,Setu Bandha Sarvangasana
/content/data/data-raw/Setu Bandha Sarvangasana/File55.jpg,Setu Bandha Sarvangasana
/content/data/data-raw/Setu Bandha Sarvangasana/File50.jpg,Setu Bandha Sarvangasana
/content/data/data-raw/Setu Bandha Sarvangasana/File59.jpg,Setu Bandha Sarvangasana
/content/data/data-raw/Balasana/File62.jpg,Balasana
/content/data/data-raw/Balasana/File45.jpg,Balasana
/content/data/data-raw/Balasana/File52.jpg,Balasana
/content/data/data-raw/Adho Mukha Svanasana/File25.jpg,Adho Mukha Svanasana
/content/data/data-raw/Phalakasana/File57.jpg,Phalakasana
/content/data/data-raw/Phalakasana/File54.jpg,Phalakasana
/content/data/data-raw/Phalakasana/File52.jpg,Phalakasana
/content/data/data-raw/Phalakasana/File56.jpg,Phalakasana
/content/data/data-raw/Phalakasana/File51.jpg,Phalakasana
/content/data/data-raw/Phalakasana/File53.jpg,Phalakasana
/content/data/data-raw/Phalakasana/File55.jpg,Phalakasana
/content/data/data-raw/Phalakasana/File50.jpg,Phalakasana
/content/data/data-raw/Virabhadrasana One/File54.jpg,Virabhadrasana One
/content/data/data-raw/Virabhadrasana One/File52.jpg,Virabhadrasana One
/content/data/data-raw/Virabhadrasana One/File51.jpg,Virabhadrasana One
/content/data/data-raw/Virabhadrasana One/File53.jpg,Virabhadrasana One
/content/data/data-raw/Virabhadrasana One/File50.jpg,Virabhadrasana One
/content/data/data-raw/Ardha Navasana/File13.jpg,Ardha Navasana
/content/data/data-raw/Padmasana/File12.jpg,Padmasana
/content/data/data-raw/Padmasana/File54.jpg,Padmasana
/content/data/data-raw/Padmasana/File43.jpg,Padmasana
/content/data/data-raw/Padmasana/File53.jpg,Padmasana
/content/data/data-raw/Padmasana/File67.jpg,Padmasana
/content/data/data-raw/Padmasana/File66.jpg,Padmasana
/content/data/data-raw/Baddha Konasana/File21.jpg,Baddha Konasana
/content/data/data-raw/Baddha Konasana/File49.jpg,Baddha Konasana
/content/data/data-raw/Baddha Konasana/File42.jpg,Baddha Konasana
/content/data/data-raw/Baddha Konasana/File59.jpg,Baddha Konasana
/content/data/data-raw/Supta Kapotasana/File10.png,Supta Kapotasana
/content/data/data-raw/Supta Kapotasana/File2.png,Supta Kapotasana
/content/data/data-raw/Supta Kapotasana/File5.png,Supta Kapotasana
/content/data/data-raw/Camatkarasana/File30.png,Camatkarasana
/content/data/data-raw/Camatkarasana/File10.png,Camatkarasana
/content/data/data-raw/Camatkarasana/File19.png,Camatkarasana
/content/data/data-raw/Camatkarasana/File26.png,Camatkarasana
/content/data/data-raw/Camatkarasana/File22.png,Camatkarasana
/content/data/data-raw/Camatkarasana/File27.png,Camatkarasana
